,title,word
long,The Taming of the Shrew,3
marry,The Taming of the Shrew,3
west,The Great Gatsby,3
marry,The Importance of Being Earnest,3
women,The Handmaid's Tale,3
novel,The Kite Runner,3
westons,Emma,3
marry,Romeo and Juliet,3
social,The Awakening,3
also,Jane Eyre,3
struggles,The Kite Runner,3
midwest,The Great Gatsby,3
soon,Emma,3
come,The Taming of the Shrew,3
come,The Great Gatsby,3
arrive,Emma,3
later,Emma,3
later,Beloved,3
mother,The Handmaid's Tale,3
yet,The Great Gatsby,3
cousins,Jane Eyre,3
convinces,Othello,3
stay,The Importance of Being Earnest,3
arranges,Othello,3
yet,The Kite Runner,3
shame,The Scarlet Letter,3
arms,The Great Gatsby,3
station,The Great Gatsby,3
mrs,Jane Eyre,3
miss,Jane Eyre,3
arrive,The Taming of the Shrew,3
mother,Jane Eyre,3
killed,As You Like It,3
later,Othello,3
kill,Othello,3
later,The Scarlet Letter,3
money,Jane Eyre,3
dress,The Scarlet Letter,3
young,Emma,3
cousin,As You Like It,3
millcote,Jane Eyre,3
arrives,The Taming of the Shrew,3
ship,Life of Pi,3
moor,Othello,3
state,The Handmaid's Tale,3
law,Beloved,3
moor,Jane Eyre,3
lady,Twelfth Night,3
knowing,Othello,3
arrives,Emma,3
shortly,The Great Gatsby,3
court,The Taming of the Shrew,3
fashionable,The Great Gatsby,2
finds,As You Like It,2
finds,The Importance of Being Earnest,2
find,The Scarlet Letter,2
river,The Great Gatsby,2
returned,The Awakening,2
farm,The Great Gatsby,2
returns,As You Like It,2
course,The Great Gatsby,2
fight,Romeo and Juliet,2
still,Jane Eyre,2
finds,Twelfth Night,2
falls,The Taming of the Shrew,2
falls,Twelfth Night,2
romantic,The Great Gatsby,2
declares,Emma,2
couple,Much Ado About Nothing,2
soon,The Awakening,2
declare,Emma,2
soon,The Taming of the Shrew,2
decisions,The Kite Runner,2
decides,The Kite Runner,2
still,Pride and Prejudice,2
family,Life of Pi,2
sort,The Awakening,2
firmly,The Great Gatsby,2
family,Romeo and Juliet,2
decides,The Awakening,2
sort,The Great Gatsby,2
decides,As You Like It,2
decidedly,The Great Gatsby,2
family,The Great Gatsby,2
cousin,Much Ado About Nothing,2
family,The Kite Runner,2
roland,As You Like It,2
returns,Jane Eyre,2
father,Jane Eyre,2
fateful,The Great Gatsby,2
finally,Jane Eyre,2
fellow,Macbeth,2
finally,Emma,2
reveals,The Importance of Being Earnest,2
reveals,The Great Gatsby,2
declares,The Great Gatsby,2
crew,Life of Pi,2
ferndean,Jane Eyre,2
returns,Romeo and Juliet,2
custody,The Handmaid's Tale,2
curtly,The Great Gatsby,2
states,The Kite Runner,2
stamp,Beloved,2
figured,The Great Gatsby,2
curious,The Importance of Being Earnest,2
reveals,Jane Eyre,2
culture,The Kite Runner,2
crime,The Great Gatsby,2
returns,The Scarlet Letter,2
starvation,Jane Eyre,2
cruel,The Great Gatsby,2
crown,Emma,2
fetches,The Great Gatsby,2
feud,Romeo and Juliet,2
dancing,Emma,2
feels,Emma,2
death,Beloved,2
feel,The Great Gatsby,2
cousin,Pride and Prejudice,2
dead,Much Ado About Nothing,2
find,The Importance of Being Earnest,2
de,As You Like It,2
days,Emma,2
day,Pride and Prejudice,2
father,Much Ado About Nothing,2
find,Life of Pi,2
find,Jane Eyre,2
staying,The Awakening,2
father,The Great Gatsby,2
day,As You Like It,2
dawn,The Great Gatsby,2
dawn,Romeo and Juliet,2
stay,Emma,2
finally,Romeo and Juliet,2
spends,The Great Gatsby,2
fears,The Great Gatsby,2
finally,Macbeth,2
daughter,The Scarlet Letter,2
rightful,As You Like It,2
finally,Life of Pi,2
riches,The Taming of the Shrew,2
ducal,As You Like It,2
rushes,Othello,2
decorated,The Great Gatsby,2
estate,Jane Eyre,2
disillusioned,The Great Gatsby,2
dismay,The Great Gatsby,2
england,Macbeth,2
shore,The Great Gatsby,2
engaged,The Importance of Being Earnest,2
engaged,Pride and Prejudice,2
shocked,The Importance of Being Earnest,2
ship,The Scarlet Letter,2
enemy,Macbeth,2
distraught,The Great Gatsby,2
shiftless,The Great Gatsby,2
sheriff,Beloved,2
door,Macbeth,2
end,The Awakening,2
doubt,Othello,2
dishonest,The Great Gatsby,2
seems,The Great Gatsby,2
disguised,The Taming of the Shrew,2
entirety,The Great Gatsby,2
secret,The Handmaid's Tale,2
discovery,The Awakening,2
secretly,The Taming of the Shrew,2
discussion,Emma,2
sickness,As You Like It,2
entrepreneur,The Great Gatsby,2
seek,The Awakening,2
seems,Macbeth,2
seeking,The Great Gatsby,2
sick,The Great Gatsby,2
shows,The Importance of Being Earnest,2
showing,The Great Gatsby,2
entail,Pride and Prejudice,2
enough,The Taming of the Shrew,2
end,Romeo and Juliet,2
shake,The Great Gatsby,2
end,Jane Eyre,2
servants,The Great Gatsby,2
earlier,The Great Gatsby,2
eagerly,The Great Gatsby,2
seventeen,The Great Gatsby,2
dying,The Scarlet Letter,2
driver,The Great Gatsby,2
drives,Beloved,2
dunsinane,Macbeth,2
dressed,The Taming of the Shrew,2
drives,The Great Gatsby,2
due,The Great Gatsby,2
retraces,The Great Gatsby,2
driving,The Great Gatsby,2
sessions,The Handmaid's Tale,2
set,Emma,2
servant,Jane Eyre,2
several,The Scarlet Letter,2
self,Emma,2
sensibilities,The Great Gatsby,2
dowry,The Taming of the Shrew,2
senator,Othello,2
send,Jane Eyre,2
sends,As You Like It,2
senior,As You Like It,2
elizabeth,The Handmaid's Tale,2
elaborate,The Great Gatsby,2
eating,Life of Pi,2
dread,The Great Gatsby,2
dreamer,The Great Gatsby,2
dreams,Jane Eyre,2
education,The Handmaid's Tale,2
sequined,The Handmaid's Tale,2
eating,The Great Gatsby,2
discovers,The Importance of Being Earnest,2
discovers,Romeo and Juliet,2
sons,Macbeth,2
simple,As You Like It,2
demands,Pride and Prejudice,2
fabricated,The Great Gatsby,2
set,As You Like It,2
explains,The Taming of the Shrew,2
explains,Othello,2
explains,Emma,2
explaining,The Importance of Being Earnest,2
demands,The Importance of Being Earnest,2
demonstrating,The Great Gatsby,2
soldier,Macbeth,2
says,As You Like It,2
solace,The Great Gatsby,2
exile,As You Like It,2
snow,Emma,2
says,Emma,2
someone,The Importance of Being Earnest,2
delight,The Great Gatsby,2
deftly,The Great Gatsby,2
room,The Importance of Being Earnest,2
sons,Beloved,2
deeply,The Awakening,2
room,Macbeth,2
room,The Handmaid's Tale,2
son,The Great Gatsby,2
son,Macbeth,2
faithful,As You Like It,2
fact,The Taming of the Shrew,2
son,Jane Eyre,2
son,Emma,2
defined,The Great Gatsby,2
failed,The Handmaid's Tale,2
rumors,The Scarlet Letter,2
facts,Pride and Prejudice,2
scene,Much Ado About Nothing,2
evidence,The Handmaid's Tale,2
everything,Twelfth Night,2
sisters,Pride and Prejudice,2
dies,Beloved,2
even,The Scarlet Letter,2
even,The Great Gatsby,2
dies,Jane Eyre,2
dies,The Scarlet Letter,2
situation,Pride and Prejudice,2
europe,The Scarlet Letter,2
died,Jane Eyre,2
sisters,Jane Eyre,2
sister,The Taming of the Shrew,2
sister,Emma,2
sir,As You Like It,2
since,Emma,2
discover,The Great Gatsby,2
died,The Importance of Being Earnest,2
seclusion,The Handmaid's Tale,2
sneaks,The Great Gatsby,2
every,The Great Gatsby,2
schoolmaster,The Taming of the Shrew,2
everyone,The Taming of the Shrew,2
sneak,The Great Gatsby,2
desire,The Great Gatsby,2
desires,The Awakening,2
small,The Awakening,2
destiny,Macbeth,2
sixo,Beloved,2
eventually,The Kite Runner,2
slightly,The Great Gatsby,2
detail,The Great Gatsby,2
events,The Kite Runner,2
sleeping,The Scarlet Letter,2
developing,Emma,2
first,Macbeth,2
zebra,Life of Pi,2
five,The Great Gatsby,2
led,Twelfth Night,2
one,Pride and Prejudice,2
one,The Awakening,2
life,As You Like It,2
one,The Handmaid's Tale,2
one,The Kite Runner,2
one,The Scarlet Letter,2
one,Twelfth Night,2
letters,Emma,2
left,The Great Gatsby,2
oppressed,The Great Gatsby,2
orange,Life of Pi,2
london,Pride and Prejudice,2
orangutan,Life of Pi,2
leaves,The Scarlet Letter,2
orders,The Great Gatsby,2
leaves,The Great Gatsby,2
orders,The Taming of the Shrew,2
organized,The Great Gatsby,2
leaves,Beloved,2
leaves,As You Like It,2
leave,Othello,2
outside,The Great Gatsby,2
life,The Kite Runner,2
life,The Scarlet Letter,2
one,Beloved,2
lifetime,The Great Gatsby,2
occurred,The Great Gatsby,2
ocean,Life of Pi,2
offends,The Great Gatsby,2
lives,Jane Eyre,2
lives,Emma,2
offers,Jane Eyre,2
offers,The Great Gatsby,2
officer,Much Ado About Nothing,2
live,Emma,2
officials,Life of Pi,2
ohio,Beloved,2
liquor,The Great Gatsby,2
old,As You Like It,2
link,The Great Gatsby,2
old,Emma,2
old,The Handmaid's Tale,2
like,The Kite Runner,2
old,The Taming of the Shrew,2
like,The Handmaid's Tale,2
like,Emma,2
one,As You Like It,2
learn,The Great Gatsby,2
outsider,The Great Gatsby,2
outstretched,The Great Gatsby,2
kills,Life of Pi,2
partner,The Great Gatsby,2
kent,Pride and Prejudice,2
keeping,The Great Gatsby,2
justice,The Great Gatsby,2
juice,Life of Pi,2
passing,The Great Gatsby,2
past,The Kite Runner,2
job,Jane Eyre,2
patroness,Pride and Prejudice,2
jester,As You Like It,2
pays,The Great Gatsby,2
james,The Great Gatsby,2
pemberley,Pride and Prejudice,2
jailer,The Scarlet Letter,2
jail,Beloved,2
pension,The Awakening,2
people,The Importance of Being Earnest,2
perfect,The Great Gatsby,2
perfectly,The Great Gatsby,2
involved,The Great Gatsby,2
invited,The Great Gatsby,2
particular,Emma,2
part,As You Like It,2
overarching,The Great Gatsby,2
kills,Romeo and Juliet,2
leads,Emma,2
laughter,Jane Eyre,2
later,Twelfth Night,2
later,The Taming of the Shrew,2
later,The Great Gatsby,2
later,As You Like It,2
overly,The Great Gatsby,2
late,The Handmaid's Tale,2
late,Romeo and Juliet,2
last,Othello,2
largely,The Great Gatsby,2
owned,The Great Gatsby,2
lapses,The Great Gatsby,2
paid,Beloved,2
knows,The Taming of the Shrew,2
knows,The Scarlet Letter,2
knows,The Great Gatsby,2
palace,As You Like It,2
know,The Importance of Being Earnest,2
knightleys,Emma,2
kind,Jane Eyre,2
locked,Jane Eyre,2
london,The Importance of Being Earnest,2
permission,Othello,2
nature,The Great Gatsby,2
must,The Importance of Being Earnest,2
meticulously,The Great Gatsby,2
message,Romeo and Juliet,2
mentor,The Great Gatsby,2
name,The Great Gatsby,2
men,The Great Gatsby,2
memory,The Great Gatsby,2
named,As You Like It,2
named,Life of Pi,2
member,The Kite Runner,2
meets,Macbeth,2
long,Emma,2
meets,As You Like It,2
meeting,The Taming of the Shrew,2
meeting,The Great Gatsby,2
meet,Pride and Prejudice,2
near,Jane Eyre,2
meat,Life of Pi,2
meanwhile,Pride and Prejudice,2
nearing,The Great Gatsby,2
nears,The Great Gatsby,2
means,The Great Gatsby,2
must,Life of Pi,2
middle,Jane Eyre,2
midst,Pride and Prejudice,2
muslim,The Kite Runner,2
morality,The Great Gatsby,2
mother,Beloved,2
mother,Life of Pi,2
mother,The Awakening,2
month,Jane Eyre,2
mourn,The Great Gatsby,2
moment,The Great Gatsby,2
move,The Great Gatsby,2
modest,The Great Gatsby,2
mistress,Jane Eyre,2
moves,Macbeth,2
missionary,Jane Eyre,2
mr,Jane Eyre,2
much,The Awakening,2
much,The Great Gatsby,2
minnesota,The Great Gatsby,2
much,The Taming of the Shrew,2
minister,The Great Gatsby,2
mind,The Great Gatsby,2
mind,Emma,2
murders,The Great Gatsby,2
meager,The Great Gatsby,2
may,Emma,2
matured,The Great Gatsby,2
make,The Kite Runner,2
make,Romeo and Juliet,2
nobility,Twelfth Night,2
main,Twelfth Night,2
made,Life of Pi,2
lunch,The Great Gatsby,2
low,The Great Gatsby,2
notice,The Great Gatsby,2
lovers,The Great Gatsby,2
noting,The Great Gatsby,2
lover,Othello,2
notoriously,The Great Gatsby,2
love,The Taming of the Shrew,2
love,The Importance of Being Earnest,2
love,The Awakening,2
louisiana,The Awakening,2
loud,Macbeth,2
novel,The Great Gatsby,2
lost,The Scarlet Letter,2
novel,The Importance of Being Earnest,2
lost,Jane Eyre,2
longer,The Great Gatsby,2
make,The Great Gatsby,2
makes,As You Like It,2
matter,The Great Gatsby,2
makes,Beloved,2
needs,The Importance of Being Earnest,2
match,Pride and Prejudice,2
match,Emma,2
match,As You Like It,2
nervous,The Great Gatsby,2
marry,Jane Eyre,2
married,The Taming of the Shrew,2
married,The Awakening,2
new,The Scarlet Letter,2
newly,The Great Gatsby,2
marriage,Jane Eyre,2
marriage,Emma,2
newlyweds,The Taming of the Shrew,2
news,Macbeth,2
news,Othello,2
news,Romeo and Juliet,2
mantua,Romeo and Juliet,2
mansion,The Great Gatsby,2
manhood,The Great Gatsby,2
next,The Awakening,2
next,The Great Gatsby,2
invite,The Great Gatsby,2
perplexing,The Great Gatsby,2
result,The Awakening,2
governess,Jane Eyre,2
groups,Twelfth Night,2
groom,The Taming of the Shrew,2
quickly,Othello,2
gremio,The Taming of the Shrew,2
quiet,The Scarlet Letter,2
graveside,The Great Gatsby,2
radiate,The Great Gatsby,2
radioactive,The Handmaid's Tale,2
governesses,Jane Eyre,2
governess,The Importance of Being Earnest,2
goes,The Scarlet Letter,2
proposes,The Importance of Being Earnest,2
goes,Emma,2
goal,The Great Gatsby,2
go,Emma,2
realizes,Jane Eyre,2
realizes,Life of Pi,2
gives,Pride and Prejudice,2
gives,Emma,2
really,The Taming of the Shrew,2
girl,Jane Eyre,2
recapture,The Great Gatsby,2
grow,The Great Gatsby,2
growing,The Kite Runner,2
quick,The Great Gatsby,2
grown,The Great Gatsby,2
proud,The Great Gatsby,2
haunts,The Great Gatsby,2
hastily,The Great Gatsby,2
harping,The Great Gatsby,2
providing,The Taming of the Shrew,2
publicly,The Great Gatsby,2
pull,The Great Gatsby,2
pulling,The Great Gatsby,2
punished,The Scarlet Letter,2
hands,The Great Gatsby,2
handmaid,The Handmaid's Tale,2
handkerchief,Othello,2
handbag,The Importance of Being Earnest,2
purposely,The Taming of the Shrew,2
gun,The Great Gatsby,2
guilty,The Scarlet Letter,2
guilt,The Scarlet Letter,2
quarters,The Handmaid's Tale,2
guards,Macbeth,2
guard,The Great Gatsby,2
questioning,The Great Gatsby,2
recaptured,The Great Gatsby,2
get,Emma,2
gesture,The Great Gatsby,2
friend,The Awakening,2
friend,Pride and Prejudice,2
freedom,Beloved,2
relating,The Great Gatsby,2
relationship,Beloved,2
fred,The Handmaid's Tale,2
found,The Great Gatsby,2
release,The Scarlet Letter,2
forward,The Great Gatsby,2
forward,Romeo and Juliet,2
religions,Life of Pi,2
religious,The Handmaid's Tale,2
former,The Great Gatsby,2
forgotten,The Great Gatsby,2
forced,The Kite Runner,2
food,The Handmaid's Tale,2
food,The Great Gatsby,2
food,Jane Eyre,2
following,Macbeth,2
respect,Emma,2
follow,The Great Gatsby,2
follow,Othello,2
friend,Romeo and Juliet,2
friend,The Great Gatsby,2
receives,The Great Gatsby,2
friend,The Taming of the Shrew,2
rechristened,The Importance of Being Earnest,2
generosity,The Great Gatsby,2
generations,The Great Gatsby,2
general,Emma,2
gateshead,Jane Eyre,2
red,Jane Eyre,2
garden,The Importance of Being Earnest,2
refusal,Emma,2
refuse,The Great Gatsby,2
funeral,The Great Gatsby,2
refuses,Romeo and Juliet,2
refuses,The Great Gatsby,2
fruit,Life of Pi,2
frightening,Jane Eyre,2
friendship,The Great Gatsby,2
friends,The Awakening,2
regular,The Great Gatsby,2
friends,Jane Eyre,2
friends,Emma,2
friendly,The Great Gatsby,2
regularly,The Great Gatsby,2
prostitutes,The Handmaid's Tale,2
hears,Jane Eyre,2
investigate,The Great Gatsby,2
including,Jane Eyre,2
infant,Jane Eyre,2
indoctrinated,The Handmaid's Tale,2
plots,Twelfth Night,2
indicates,The Great Gatsby,2
indicates,Emma,2
india,Jane Eyre,2
poetry,As You Like It,2
point,The Taming of the Shrew,2
poison,Romeo and Juliet,2
police,The Handmaid's Tale,2
political,The Kite Runner,2
prophetically,The Great Gatsby,2
incident,Jane Eyre,2
popularity,The Great Gatsby,2
impressive,The Great Gatsby,2
impressed,Pride and Prejudice,2
position,Emma,2
position,Jane Eyre,2
impetus,The Great Gatsby,2
impersonate,The Taming of the Shrew,2
impact,The Great Gatsby,2
postman,The Great Gatsby,2
plead,Othello,2
plaza,The Great Gatsby,2
play,Twelfth Night,2
informs,The Taming of the Shrew,2
invalid,The Importance of Being Earnest,2
intervening,The Great Gatsby,2
personal,The Awakening,2
personal,The Great Gatsby,2
intermediary,The Great Gatsby,2
intentions,The Great Gatsby,2
